"Id вершин","=Путь"
"2611314076->2597182860=2611314076-1712454187-940362940-2259767530-2259768471-2563680363-4394804680-2435547342-2435547347-1008552037-1709650937-940363014-940362963-2436761065-2436761186-2436761191-2436761205-2436761233-2436761243-2436761323-2597182860"
"2597182860->2445088779=2597182860-2436761323-2436761311-2436761419-1004236206-3824809460-941648355-3824809462-2433070177-2445088779"
"2445088779->1004298152=2445088779-2433070181-634102404-1004298152"
"1004298152->2441039196=1004298152-634102404-989054921-1004200335-1776932294-989054346-1317118485-513537172-993681758-3156079125-3156081089-3156081097-2441038991-2441039070-2441039249-2441039196"
"2441039196->2398385555=2441039196-2441039249-2441039318-2441039320-291015708-1251914703-2990915134-1005290709-1005290138-1005290094-291016573-2398385555"
"2398385555->317512622=2398385555-2398385557-2613660806-1005875396-317512622"
"317512622->2597265927=317512622-1005875878-1005875353-2525199767-2597265927"
"2597265927->2504445178=2597265927-2525199767-1005875353-1005875878-317512622-291015721-2504445191-2666099733-2504445178"
"2504445178->2463390188=2504445178-2504445191-291015721-317512622-1005875878-1005876518-1005875452-1006084100-2619547233-2398361960-2398361978-301162306-1005491521-1005494553-2398340146-2398327304-291015439-5380228301-5380228305-1010716495-3840375574-989799496-989799467-1010717298-4235135464-2463390188"
"2463390188->2499750076=2463390188-4235135464-1010716384-1010717479-1010716747-1010715981-1010717665-1225246262-989799497-989799500-989799501-291016827-2398723611-2437921685-2437921693-1005065070-1005290770-2619494169-1005070831-1005290489-2630875702-1798100208-1798100207-1005290074-1005290717-1005070901-1005070900-1005290240-1710518004-1710518005-2520254810-4004436562-4004436556-2571370778-993519050-876509171-291016463-1167171775-2499750049-2499750081-2499750076"
"2499750076->2611314076=2499750076-2499750081-2499750049-1167171775-291016463-1256329279-1256329287-1256329281-1712866401-1712866364-1256372736-1256357887-634986165-1251914637-993685128-993685226-634986166-513797928-2591886632-2587461785-2587461781-2850252009-2850251194-2850252006-2456420206-2456420210-2456420203-3122057434-2456420209-3824809469-941648355-2444962664-2590111664-3727348008-1008551914-2597182970-3070621737-3070621144-940363008-1126464432-2353278566-1383340503-1346218978-1346218339-1346219019-1346217320-2211013480-1777271341-2476932984-2611314076"
